from,to,Red,type,Specie,weight
7,57,Gestao,WhatsApp Group,Both,6
7,58,Gestao,WhatsApp Group,Both,6
7,59,Gestao,WhatsApp Group,Both,6
7,60,Gestao,WhatsApp Group,Both,6
7,4,Gestao,Formal Training ,Both,6
9,11,Gestao,Vehicle (land or water),Both,8
9,11,Gestao,NGO Support for Management (same NGO),Both,5
9,11,Gestao,Database Sharing (any type of data),Both,5
10,9,Gestao,Team,Both,5
10,12,Gestao,NGO Support for Management (same NGO),Both,6
10,9,Gestao,Fisheries Legislation (if there is legislation regulating fishing jointly with other MPAs),Both,9
10,12,Gestao,Fisheries Legislation (if there is legislation regulating fishing jointly with other MPAs),Both,9
10,11,Gestao,Fisheries Legislation (if there is legislation regulating fishing jointly with other MPAs),Both,9
10,62,Gestao,Fisheries Legislation (if there is legislation regulating fishing jointly with other MPAs),Both,9
10,61,Gestao,Fisheries Legislation (if there is legislation regulating fishing jointly with other MPAs),Both,9
11,9,Gestao,Vehicle (land or water),Both,6
11,9,Gestao,Team,Both,4
12,61,Gestao,NGO Support for Management (same NGO),Both,5
12,9,Gestao,NGO Support for Management (same NGO),Both,5
13,66,Gestao,Vehicle (land or water),Both,7
13,66,Gestao,Team,Both,7
15,16,Gestao,Vehicle (land or water),Both,9
15,16,Gestao,Team,Both,6
15,16,Gestao,Formal Training ,Both,6
15,16,Gestao,Database Sharing (any type of data),Both,7
15,64,Gestao,Database Sharing (any type of data),Both,7
15,13,Gestao,Database Sharing (any type of data),Both,7
15,18,Gestao,Database Sharing (any type of data),Both,7
15,14,Gestao,Database Sharing (any type of data),Both,7
15,17,Gestao,Database Sharing (any type of data),Both,7
15,26,Gestao,Database Sharing (any type of data),Both,7
15,69,Gestao,Database Sharing (any type of data),Both,7
15,27,Gestao,Database Sharing (any type of data),Both,7
15,71,Gestao,Database Sharing (any type of data),Both,7
15,72,Gestao,Database Sharing (any type of data),Both,7
15,16,Gestao,WhatsApp Group,Both,7
15,64,Gestao,WhatsApp Group,Both,7
15,13,Gestao,WhatsApp Group,Both,7
15,18,Gestao,WhatsApp Group,Both,7
15,14,Gestao,WhatsApp Group,Both,7
15,17,Gestao,WhatsApp Group,Both,7
15,26,Gestao,WhatsApp Group,Both,7
15,69,Gestao,WhatsApp Group,Both,7
15,27,Gestao,WhatsApp Group,Both,7
15,71,Gestao,WhatsApp Group,Both,7
15,72,Gestao,WhatsApp Group,Both,7
16,18,Gestao,Formal Training ,Both,6
16,18,Gestao,Database Sharing (any type of data),Both,9
16,64,Gestao,Database Sharing (any type of data),Both,9
16,13,Gestao,Database Sharing (any type of data),Both,9
16,15,Gestao,Database Sharing (any type of data),Both,9
16,14,Gestao,Database Sharing (any type of data),Both,9
16,17,Gestao,Database Sharing (any type of data),Both,9
16,26,Gestao,Database Sharing (any type of data),Both,9
16,69,Gestao,Database Sharing (any type of data),Both,9
16,27,Gestao,Database Sharing (any type of data),Both,9
16,71,Gestao,Database Sharing (any type of data),Both,9
16,72,Gestao,Database Sharing (any type of data),Both,9
17,27,Gestao,Team,Both,7
17,27,Gestao,Equipments,Both,8
17,27,Gestao,Formal Training ,Both,7
17,16,Gestao,Formal Training ,Both,5
17,18,Gestao,Formal Training ,Both,5
17,18,Gestao,Previous Professional Training (conducted before taking office),Both,5
17,27,Gestao,Participation in Management Councils,Both,7
17,16,Gestao,Database Sharing (any type of data),Both,7
17,64,Gestao,Database Sharing (any type of data),Both,7
17,13,Gestao,Database Sharing (any type of data),Both,7
17,18,Gestao,Database Sharing (any type of data),Both,7
17,14,Gestao,Database Sharing (any type of data),Both,7
17,15,Gestao,Database Sharing (any type of data),Both,7
17,26,Gestao,Database Sharing (any type of data),Both,7
17,69,Gestao,Database Sharing (any type of data),Both,7
17,27,Gestao,Database Sharing (any type of data),Both,7
17,71,Gestao,Database Sharing (any type of data),Both,7
17,72,Gestao,Database Sharing (any type of data),Both,7
17,16,Gestao,WhatsApp Group,Both,7
17,64,Gestao,WhatsApp Group,Both,7
17,13,Gestao,WhatsApp Group,Both,7
17,18,Gestao,WhatsApp Group,Both,7
17,14,Gestao,WhatsApp Group,Both,7
17,15,Gestao,WhatsApp Group,Both,7
17,26,Gestao,WhatsApp Group,Both,7
17,69,Gestao,WhatsApp Group,Both,7
17,27,Gestao,WhatsApp Group,Both,7
17,71,Gestao,WhatsApp Group,Both,7
17,72,Gestao,WhatsApp Group,Both,7
18,13,Gestao,Vehicle (land or water),Both,7
18,13,Gestao,Team,Both,7
18,16,Gestao,Equipments,Both,7
18,13,Gestao,Research Program,Both,7
18,16,Gestao,WhatsApp Group,Both,7
18,64,Gestao,WhatsApp Group,Both,7
18,13,Gestao,WhatsApp Group,Both,7
18,17,Gestao,WhatsApp Group,Both,7
18,14,Gestao,WhatsApp Group,Both,7
18,15,Gestao,WhatsApp Group,Both,7
18,26,Gestao,WhatsApp Group,Both,7
18,69,Gestao,WhatsApp Group,Both,7
18,27,Gestao,WhatsApp Group,Both,7
18,71,Gestao,WhatsApp Group,Both,7
18,72,Gestao,WhatsApp Group,Both,7
18,16,Gestao,Database Sharing (any type of data),Both,7
18,64,Gestao,Database Sharing (any type of data),Both,7
18,13,Gestao,Database Sharing (any type of data),Both,7
18,17,Gestao,Database Sharing (any type of data),Both,7
18,14,Gestao,Database Sharing (any type of data),Both,7
18,15,Gestao,Database Sharing (any type of data),Both,7
18,26,Gestao,Database Sharing (any type of data),Both,7
18,69,Gestao,Database Sharing (any type of data),Both,7
18,27,Gestao,Database Sharing (any type of data),Both,7
18,71,Gestao,Database Sharing (any type of data),Both,7
18,72,Gestao,Database Sharing (any type of data),Both,7
19,67,Gestao,Vehicle (land or water),Both,5
19,67,Gestao,Team,Both,5
19,67,Gestao,Equipments,Both,5
